hue,saturation,brightness,fixation,room,background,clearest,second clear,most comfortable,second comfortable,least clear,least comfortable,device
60,100,100,saturation,indoor,nature,26,4,,,,12,hololens
60,20,100,brightness,outdoor,control,,,,,,18,hololens
60,30,100,brightness,outdoor,control,,,,,18,,hololens
60,40,100,brightness,outdoor,control,,,,,12,,hololens
60,50,100,brightness,outdoor,control,,,,,,,hololens
60,60,100,brightness,outdoor,control,,,,6,,,hololens
60,70,100,brightness,outdoor,control,,12,24,6,,,hololens
60,80,100,brightness,outdoor,control,6,,6,12,,,hololens
60,90,100,brightness,outdoor,control,6,12,,6,,,hololens
60,100,100,brightness,outdoor,control,18,6,,,,12,hololens
60,100,20,saturation,outdoor,control,,,,,30,15,hololens
60,100,30,saturation,outdoor,control,,,,,,,hololens
60,100,40,saturation,outdoor,control,,,,,,,hololens
60,100,50,saturation,outdoor,control,,,,,,,hololens
60,100,60,saturation,outdoor,control,,,,,,,hololens
60,100,70,saturation,outdoor,control,,,,8,,,hololens
60,100,80,saturation,outdoor,control,,,23,7,,,hololens
60,100,90,saturation,outdoor,control,,30,7,15,,,hololens
60,100,100,saturation,outdoor,control,30,,,,,15,hololens
60,20,100,brightness,outdoor,nature,,,,,,18,hololens
60,30,100,brightness,outdoor,nature,,,,,18,,hololens
60,40,100,brightness,outdoor,nature,,,,,12,,hololens
60,50,100,brightness,outdoor,nature,,,,,,,hololens
60,60,100,brightness,outdoor,nature,,,6,6,,,hololens
60,70,100,brightness,outdoor,nature,,,,12,,,hololens
60,80,100,brightness,outdoor,nature,,12,18,6,,,hololens
60,90,100,brightness,outdoor,nature,12,18,6,6,,,hololens
60,100,100,brightness,outdoor,nature,18,,,,,12,hololens
60,100,20,saturation,outdoor,nature,,,,,30,18,hololens
60,100,30,saturation,outdoor,nature,,,,,,,hololens
60,100,40,saturation,outdoor,nature,,,,,,,hololens
60,100,50,saturation,outdoor,nature,,,,,,,hololens
60,100,60,saturation,outdoor,nature,,,,,,,hololens
60,100,70,saturation,outdoor,nature,,,,,,,hololens
60,100,80,saturation,outdoor,nature,,,12,6,,,hololens
60,100,90,saturation,outdoor,nature,,30,12,18,,,hololens
60,100,100,saturation,outdoor,nature,30,,6,6,,12,hololens
