 ,saturation,brightness,fixation,room,background,clearest,second clear,most comfortable,second comfortable,least clear,least comfortable,device
285,20,100,brightness,indoor,control,,,,,12,14,Xreal
285,30,100,brightness,indoor,control,,,,7,,,Xreal
285,40,100,brightness,indoor,control,,2,18,9,,,Xreal
285,50,100,brightness,indoor,control,7,7,7,12,,,Xreal
285,60,100,brightness,indoor,control,16,7,5,,,,Xreal
285,70,100,brightness,indoor,control,7,14,,2,,,Xreal
285,80,100,brightness,indoor,control,,,,,,,Xreal
285,90,100,brightness,indoor,control,,,,,,,Xreal
285,100,100,brightness,indoor,control,,,,,18,16,Xreal
285,100,20,saturation,indoor,control,,,,,30,16,Xreal
285,100,30,saturation,indoor,control,,,,,,,Xreal
285,100,40,saturation,indoor,control,,,,,,,Xreal
285,100,50,saturation,indoor,control,,,,,,,Xreal
285,100,60,saturation,indoor,control,,,,,,,Xreal
285,100,70,saturation,indoor,control,,,2,18,,,Xreal
285,100,80,saturation,indoor,control,,12,23,7,,,Xreal
285,100,90,saturation,indoor,control,12,18,5,5,,,Xreal
285,100,100,saturation,indoor,control,18,,,,,14,Xreal
285,20,100,brightness,indoor,nature,,,,,12,16,Xreal
285,30,100,brightness,indoor,nature,,,,2,,,Xreal
285,40,100,brightness,indoor,nature,,,5,7,,,Xreal
285,50,100,brightness,indoor,nature,5,2,14,9,,,Xreal
285,60,100,brightness,indoor,nature,14,12,11,12,,,Xreal
285,70,100,brightness,indoor,nature,7,16,,,,,Xreal
285,80,100,brightness,indoor,nature,4,,,,,,Xreal
285,90,100,brightness,indoor,nature,,,,,,,Xreal
285,100,100,brightness,indoor,nature,,,,,18,14,Xreal
285,100,20,saturation,indoor,nature,,,,,30,14,Xreal
285,100,30,saturation,indoor,nature,,,,,,,Xreal
285,100,40,saturation,indoor,nature,,,,,,,Xreal
285,100,50,saturation,indoor,nature,,,,,,,Xreal
285,100,60,saturation,indoor,nature,,,,,,,Xreal
285,100,70,saturation,indoor,nature,,,,8,,,Xreal
285,100,80,saturation,indoor,nature,,5,16,15,,,Xreal
285,100,90,saturation,indoor,nature,12,21,14,7,,,Xreal
285,100,100,saturation,indoor,nature,18,4,,,,16,Xreal
285,20,100,brightness,outdoor,control,,,,,12,14,Xreal
285,30,100,brightness,outdoor,control,,,,,,,Xreal
285,40,100,brightness,outdoor,control,7,5,14,,,,Xreal
285,50,100,brightness,outdoor,control,,14,11,14,,,Xreal
285,60,100,brightness,outdoor,control,7,7,5,11,,,Xreal
285,70,100,brightness,outdoor,control,7,,,5,,,Xreal
285,80,100,brightness,outdoor,control,9,4,,,,,Xreal
285,90,100,brightness,outdoor,control,,,,,,,Xreal
285,100,100,brightness,outdoor,control,,,,,18,16,Xreal
285,100,20,saturation,outdoor,control,,,,,30,16,Xreal
285,100,30,saturation,outdoor,control,,,,,,,Xreal
285,100,40,saturation,outdoor,control,,,,,,,Xreal
285,100,50,saturation,outdoor,control,,,,,,,Xreal
285,100,60,saturation,outdoor,control,,,,,,,Xreal
285,100,70,saturation,outdoor,control,,,,5,,,Xreal
285,100,80,saturation,outdoor,control,,7,9,18,,,Xreal
285,100,90,saturation,outdoor,control,9,16,19,7,,,Xreal
285,100,100,saturation,outdoor,control,21,7,2,,,14,Xreal
285,20,100,brightness,outdoor,nature,,,,,12,16,Xreal
285,30,100,brightness,outdoor,nature,5,3,,,,,Xreal
285,40,100,brightness,outdoor,nature,9,9,14,7,,,Xreal
285,50,100,brightness,outdoor,nature,12,9,9,5,,,Xreal
285,60,100,brightness,outdoor,nature,2,7,5,7,,,Xreal
285,70,100,brightness,outdoor,nature,2,,,11,,,Xreal
285,80,100,brightness,outdoor,nature,,2,2,,,,Xreal
285,90,100,brightness,outdoor,nature,,,,,,,Xreal
285,100,100,brightness,outdoor,nature,,,,,18,14,Xreal
285,100,20,saturation,outdoor,nature,,,,,30,16,Xreal
285,100,30,saturation,outdoor,nature,,,,,,,Xreal
285,100,40,saturation,outdoor,nature,,,,,,,Xreal
285,100,50,saturation,outdoor,nature,,,,,,,Xreal
285,100,60,saturation,outdoor,nature,,,,,,,Xreal
285,100,70,saturation,outdoor,nature,,,2,19,,,Xreal
285,100,80,saturation,outdoor,nature,2,5,19,9,,,Xreal
285,100,90,saturation,outdoor,nature,9,18,9,,,,Xreal
285,100,100,saturation,outdoor,nature,19,7,,2,,14,Xreal
285,20,100,brightness,indoor,control,,,,,,,hololens
285,30,100,brightness,indoor,control,,,,,,,hololens
285,40,100,brightness,indoor,control,,,,15,8,,hololens
285,50,100,brightness,indoor,control,,,23,8,,,hololens
285,60,100,brightness,indoor,control,15,,7,7,,,hololens
285,70,100,brightness,indoor,control,8,23,,,,,hololens
285,80,100,brightness,indoor,control,7,7,,,,,hololens
285,90,100,brightness,indoor,control,,,,,,,hololens
285,100,100,brightness,indoor,control,,,,,22,30,hololens
285,100,20,saturation,indoor,control,,,,,30,18,hololens
285,100,30,saturation,indoor,control,,,,,,,hololens
285,100,40,saturation,indoor,control,,,,,,,hololens
285,100,50,saturation,indoor,control,,,,,,,hololens
285,100,60,saturation,indoor,control,,,,,,,hololens
285,100,70,saturation,indoor,control,,,8,,,,hololens
285,100,80,saturation,indoor,control,,,,30,,,hololens
285,100,90,saturation,indoor,control,,30,22,,,,hololens
285,100,100,saturation,indoor,control,30,,,,,12,hololens
285,20,100,brightness,indoor,nature,,,,,,14,hololens
285,30,100,brightness,indoor,nature,,,,,8,,hololens
285,40,100,brightness,indoor,nature,,,,,22,,hololens
285,50,100,brightness,indoor,nature,,,,8,,,hololens
285,60,100,brightness,indoor,nature,,,30,,,,hololens
285,70,100,brightness,indoor,nature,,,,23,,,hololens
285,80,100,brightness,indoor,nature,23,,,,,,hololens
285,90,100,brightness,indoor,nature,,30,,,,,hololens
285,100,100,brightness,indoor,nature,7,,,,,15,hololens
285,100,20,saturation,indoor,nature,,,,,30,15,hololens
285,100,30,saturation,indoor,nature,,,,,,,hololens
285,100,40,saturation,indoor,nature,,,,,,,hololens
285,100,50,saturation,indoor,nature,,,,,,,hololens
285,100,60,saturation,indoor,nature,,,,,,,hololens
285,100,70,saturation,indoor,nature,,,,,,,hololens
285,100,80,saturation,indoor,nature,,,8,23,,,hololens
285,100,90,saturation,indoor,nature,,30,22,7,,,hololens
285,100,100,saturation,indoor,nature,30,,,,,15,hololens
285,20,100,brightness,outdoor,control,,,,,,8,hololens
285,30,100,brightness,outdoor,control,,,,,,,hololens
285,40,100,brightness,outdoor,control,,8,,8,8,,hololens
285,50,100,brightness,outdoor,control,15,,23,,,,hololens
285,60,100,brightness,outdoor,control,,,7,7,,,hololens
285,70,100,brightness,outdoor,control,8,8,,15,,,hololens
285,80,100,brightness,outdoor,control,7,7,,,,,hololens
285,90,100,brightness,outdoor,control,,7,,,,,hololens
285,100,100,brightness,outdoor,control,,,,,22,22,hololens
285,100,20,saturation,outdoor,control,,,,,30,23,hololens
285,100,30,saturation,outdoor,control,,,,,,,hololens
285,100,40,saturation,outdoor,control,,,,,,,hololens
285,100,50,saturation,outdoor,control,,,,,,,hololens
285,100,60,saturation,outdoor,control,,,,,,,hololens
285,100,70,saturation,outdoor,control,,,,,,,hololens
285,100,80,saturation,outdoor,control,,,,18,,,hololens
285,100,90,saturation,outdoor,control,,30,30,2,,,hololens
285,100,100,saturation,outdoor,control,30,,,10,,7,hololens
285,20,100,brightness,outdoor,nature,,,,,,8,hololens
285,30,100,brightness,outdoor,nature,,,,,,,hololens
