            ,saturation,brightness,fixation,room,background,clearest,second clear,most comfortable,second comfortable,least clear,least comfortable,device
240,100,100,saturation,indoor,nature,15,,,,,22,hololens
240,20,100,brightness,outdoor,control,,,,,,15,hololens
240,30,100,brightness,outdoor,control,,,23,,,,hololens
240,40,100,brightness,outdoor,control,,8,,23,,,hololens
240,50,100,brightness,outdoor,control,23,7,7,,,,hololens
240,60,100,brightness,outdoor,control,7,15,,7,,,hololens
240,70,100,brightness,outdoor,control,,,,,,,hololens
240,80,100,brightness,outdoor,control,,,,,,,hololens
240,90,100,brightness,outdoor,control,,,,,,,hololens
240,100,100,brightness,outdoor,control,,,,,30,15,hololens
240,100,20,saturation,outdoor,control,,,,,30,23,hololens
240,100,30,saturation,outdoor,control,,,,,,,hololens
240,100,40,saturation,outdoor,control,,,,,,,hololens
240,100,50,saturation,outdoor,control,,,,,,,hololens
240,100,60,saturation,outdoor,control,,,,,,,hololens
240,100,70,saturation,outdoor,control,,,,,,,hololens
240,100,80,saturation,outdoor,control,,,8,,,,hololens
240,100,90,saturation,outdoor,control,,30,15,15,,,hololens
240,100,100,saturation,outdoor,control,30,,7,15,,7,hololens
240,20,100,brightness,outdoor,nature,,,,,,8,hololens
240,30,100,brightness,outdoor,nature,,8,,8,,,hololens
240,40,100,brightness,outdoor,nature,8,7,8,7,,,hololens
240,50,100,brightness,outdoor,nature,22,,22,,,,hololens
240,60,100,brightness,outdoor,nature,,15,,15,,,hololens
240,70,100,brightness,outdoor,nature,,,,,,,hololens
240,80,100,brightness,outdoor,nature,,,,,,,hololens
240,90,100,brightness,outdoor,nature,,,,,,,hololens
240,100,100,brightness,outdoor,nature,,,,,30,22,hololens
240,100,20,saturation,outdoor,nature,,,,,30,23,hololens
240,100,30,saturation,outdoor,nature,,,,,,,hololens
240,100,40,saturation,outdoor,nature,,,,,,,hololens
240,100,50,saturation,outdoor,nature,,,,,,,hololens
240,100,60,saturation,outdoor,nature,,,,,,,hololens
240,100,70,saturation,outdoor,nature,,,,,,,hololens
240,100,80,saturation,outdoor,nature,,,,8,,,hololens
240,100,90,saturation,outdoor,nature,,30,23,7,,,hololens
240,100,100,saturation,outdoor,nature,30,,7,15,,7,hololens
