 ,saturation,brightness,fixation,room,background,clearest,second clear,most comfortable,second comfortable,least clear,least comfortable,device
315,20,100,brightness,indoor,control,,,,,,10,Xreal
315,30,100,brightness,indoor,control,,,,3,5,,Xreal
315,40,100,brightness,indoor,control,,,9,13,,,Xreal
315,50,100,brightness,indoor,control,7,7,16,11,,,Xreal
315,60,100,brightness,indoor,control,11,5,5,,5,,Xreal
315,70,100,brightness,indoor,control,5,12,,3,,,Xreal
315,80,100,brightness,indoor,control,,2,,,,,Xreal
315,90,100,brightness,indoor,control,5,2,,,,,Xreal
315,100,100,brightness,indoor,control,2,2,,,20,20,Xreal
315,100,20,saturation,indoor,control,,,,,30,16,Xreal
315,100,30,saturation,indoor,control,,,,,,,Xreal
315,100,40,saturation,indoor,control,,,,,,,Xreal
315,100,50,saturation,indoor,control,,,,,,,Xreal
315,100,60,saturation,indoor,control,,,,,,,Xreal
315,100,70,saturation,indoor,control,,,5,14,,,Xreal
315,100,80,saturation,indoor,control,,15,9,16,,,Xreal
315,100,90,saturation,indoor,control,18,13,16,,,,Xreal
315,100,100,saturation,indoor,control,12,2,,,,14,Xreal
315,20,100,brightness,indoor,nature,,,,,5,12,Xreal
315,30,100,brightness,indoor,nature,,,,,2,,Xreal
315,40,100,brightness,indoor,nature,,,3,12,,,Xreal
315,50,100,brightness,indoor,nature,,,7,14,,,Xreal
315,60,100,brightness,indoor,nature,3,9,20,2,,,Xreal
315,70,100,brightness,indoor,nature,15,9,,2,,,Xreal
315,80,100,brightness,indoor,nature,5,9,,,,,Xreal
315,90,100,brightness,indoor,nature,7,3,,,,,Xreal
315,100,100,brightness,indoor,nature,,,,,23,18,Xreal
315,100,20,saturation,indoor,nature,,,,,30,14,Xreal
315,100,30,saturation,indoor,nature,,,,,,,Xreal
315,100,40,saturation,indoor,nature,,,,,,,Xreal
315,100,50,saturation,indoor,nature,,,,,,,Xreal
315,100,60,saturation,indoor,nature,,,,9,,,Xreal
315,100,70,saturation,indoor,nature,,,8,14,,,Xreal
315,100,80,saturation,indoor,nature,5,7,17,7,,,Xreal
315,100,90,saturation,indoor,nature,7,23,5,,,,Xreal
315,100,100,saturation,indoor,nature,18,,,,,16,Xreal
315,20,100,brightness,outdoor,control,,,,,7,16,Xreal
315,30,100,brightness,outdoor,control,,,,7,,,Xreal
315,40,100,brightness,outdoor,control,,,11,9,,,Xreal
315,50,100,brightness,outdoor,control,2,12,7,12,,,Xreal
315,60,100,brightness,outdoor,control,2,7,7,2,7,,Xreal
315,70,100,brightness,outdoor,control,5,2,5,,,,Xreal
315,80,100,brightness,outdoor,control,5,2,,,,,Xreal
315,90,100,brightness,outdoor,control,16,2,,,,,Xreal
315,100,100,brightness,outdoor,control,,5,,,16,14,Xreal
315,100,20,saturation,outdoor,control,,,,,30,14,Xreal
315,100,30,saturation,outdoor,control,,,,,,,Xreal
315,100,40,saturation,outdoor,control,,,,,,,Xreal
315,100,50,saturation,outdoor,control,,,,,,,Xreal
315,100,60,saturation,outdoor,control,,,,,,,Xreal
315,100,70,saturation,outdoor,control,,,5,17,,,Xreal
315,100,80,saturation,outdoor,control,,5,18,9,,,Xreal
315,100,90,saturation,outdoor,control,12,18,5,4,,,Xreal
315,100,100,saturation,outdoor,control,18,7,2,,,16,Xreal
315,20,100,brightness,outdoor,nature,,,,,,16,Xreal
315,30,100,brightness,outdoor,nature,,,,2,,,Xreal
315,40,100,brightness,outdoor,nature,,,8,5,,,Xreal
315,50,100,brightness,outdoor,nature,14,9,5,14,,,Xreal
315,60,100,brightness,outdoor,nature,5,5,2,7,7,,Xreal
315,70,100,brightness,outdoor,nature,7,9,5,2,,,Xreal
315,80,100,brightness,outdoor,nature,,3,10,,,,Xreal
315,90,100,brightness,outdoor,nature,2,2,,,,,Xreal
315,100,100,brightness,outdoor,nature,2,2,,,23,14,Xreal
315,100,20,saturation,outdoor,nature,,,,,30,16,Xreal
315,100,30,saturation,outdoor,nature,,,,,,,Xreal
315,100,40,saturation,outdoor,nature,,,,,,,Xreal
315,100,50,saturation,outdoor,nature,,,,,,,Xreal
315,100,60,saturation,outdoor,nature,,,,5,,,Xreal
315,100,70,saturation,outdoor,nature,,,9,11,,,Xreal
315,100,80,saturation,outdoor,nature,,9,14,14,,,Xreal
315,100,90,saturation,outdoor,nature,12,19,7,,,,Xreal
315,100,100,saturation,outdoor,nature,18,2,,,,14,Xreal
315,20,100,brightness,indoor,control,,,,,,8,hololens
315,30,100,brightness,indoor,control,,,,8,,,hololens
315,40,100,brightness,indoor,control,,,8,22,,,hololens
315,50,100,brightness,indoor,control,,,15,,,,hololens
315,60,100,brightness,indoor,control,15,8,7,,,,hololens
315,70,100,brightness,indoor,control,15,7,,,,,hololens
315,80,100,brightness,indoor,control,,15,,,,,hololens
315,90,100,brightness,indoor,control,,,,,,,hololens
315,100,100,brightness,indoor,control,,,,,30,22,hololens
315,100,20,saturation,indoor,control,,,,,30,8,hololens
315,100,30,saturation,indoor,control,,,,,,,hololens
315,100,40,saturation,indoor,control,,,,,,,hololens
315,100,50,saturation,indoor,control,,,,,,,hololens
315,100,60,saturation,indoor,control,,,,,,,hololens
315,100,70,saturation,indoor,control,,,,23,,,hololens
315,100,80,saturation,indoor,control,,,23,7,,,hololens
315,100,90,saturation,indoor,control,8,23,7,,,,hololens
315,100,100,saturation,indoor,control,22,7,,,,22,hololens
315,20,100,brightness,indoor,nature,,,,,,15,hololens
315,30,100,brightness,indoor,nature,,,,,23,,hololens
315,40,100,brightness,indoor,nature,,,8,,,,hololens
315,50,100,brightness,indoor,nature,8,,22,8,,,hololens
315,60,100,brightness,indoor,nature,,15,,22,,,hololens
315,70,100,brightness,indoor,nature,15,,,,,,hololens
315,80,100,brightness,indoor,nature,7,8,,,,,hololens
315,90,100,brightness,indoor,nature,,7,,,,,hololens
315,100,100,brightness,indoor,nature,,,,,7,15,hololens
315,100,20,saturation,indoor,nature,,,,,30,15,hololens
315,100,30,saturation,indoor,nature,,,,,,,hololens
315,100,40,saturation,indoor,nature,,,,,,,hololens
315,100,50,saturation,indoor,nature,,,,,,,hololens
315,100,60,saturation,indoor,nature,,,,,,,hololens
315,100,70,saturation,indoor,nature,,,8,8,,,hololens
315,100,80,saturation,indoor,nature,,8,7,22,,,hololens
315,100,90,saturation,indoor,nature,15,15,15,,,,hololens
315,100,100,saturation,indoor,nature,15,7,,,,15,hololens
315,20,100,brightness,outdoor,control,,,,,,8,hololens
315,30,100,brightness,outdoor,control,,,,,7,,hololens
315,40,100,brightness,outdoor,control,,,8,8,8,,hololens
315,50,100,brightness,outdoor,control,,,2,22,,,hololens
315,60,100,brightness,outdoor,control,,8,20,,,,hololens
315,70,100,brightness,outdoor,control,8,8,,,,,hololens
315,80,100,brightness,outdoor,control,15,7,,,,,hololens
315,90,100,brightness,outdoor,control,2,7,,,,,hololens
315,100,100,brightness,outdoor,control,5,,,,15,22,hololens
315,100,20,saturation,outdoor,control,,,,,30,23,hololens
315,100,30,saturation,outdoor,control,,,,,,,hololens
315,100,40,saturation,outdoor,control,,,,,,,hololens
315,100,50,saturation,outdoor,control,,,,,,,hololens
315,100,60,saturation,outdoor,control,,,,,,,hololens
315,100,70,saturation,outdoor,control,,,,,,,hololens
315,100,80,saturation,outdoor,control,,,8,23,,,hololens
315,100,90,saturation,outdoor,control,,30,22,7,,,hololens
315,100,100,saturation,outdoor,control,30,,,,,7,hololens
315,20,100,brightness,outdoor,nature,,,,,,,hololens
315,30,100,brightness,outdoor,nature,,,,8,8,,hololens
315,40,100,brightness,outdoor,nature,,,15,,15,,hololens
315,50,100,brightness,outdoor,nature,,,,22,,,hololens
