 ,saturation,brightness,fixation,room,background,clearest,second clear,most comfortable,second comfortable,least clear,least comfortable,device
135,20,100,brightness,indoor,control,,,,,,18,Xreal
135,30,100,brightness,indoor,control,,,,2,9,2,Xreal
135,40,100,brightness,indoor,control,,,4,2,10,,Xreal
135,50,100,brightness,indoor,control,,,2,6,7,,Xreal
135,60,100,brightness,indoor,control,,,16,5,2,,Xreal
135,70,100,brightness,indoor,control,10,5,6,13,2,,Xreal
135,80,100,brightness,indoor,control,14,8,2,3,,,Xreal
135,90,100,brightness,indoor,control,4,12,,,,,Xreal
135,100,100,brightness,indoor,control,2,5,,,4,10,Xreal
135,100,20,saturation,indoor,control,,,,,30,16,Xreal
135,100,30,saturation,indoor,control,,,,,,,Xreal
135,100,40,saturation,indoor,control,,,,,,,Xreal
135,100,50,saturation,indoor,control,,,,,,,Xreal
135,100,60,saturation,indoor,control,,,,3,,,Xreal
135,100,70,saturation,indoor,control,,,10,10,,,Xreal
135,100,80,saturation,indoor,control,,5,14,15,,,Xreal
135,100,90,saturation,indoor,control,14,16,6,2,,,Xreal
135,100,100,saturation,indoor,control,16,9,,,,24,Xreal
135,20,100,brightness,indoor,nature,,,,,,6,Xreal
135,30,100,brightness,indoor,nature,,,,,9,,Xreal
135,40,100,brightness,indoor,nature,,,2,,12,,Xreal
135,50,100,brightness,indoor,nature,,,20,8,4,,Xreal
135,60,100,brightness,indoor,nature,,,7,18,3,,Xreal
135,70,100,brightness,indoor,nature,4,8,1,4,2,,Xreal
135,80,100,brightness,indoor,nature,16,12,,,,,Xreal
135,90,100,brightness,indoor,nature,10,10,,,,,Xreal
135,100,100,brightness,indoor,nature,,,,,4,6,Xreal
135,100,20,saturation,indoor,nature,,,,,30,11,Xreal
135,100,30,saturation,indoor,nature,,,,,,,Xreal
135,100,40,saturation,indoor,nature,,,,,,,Xreal
135,100,50,saturation,indoor,nature,,,,,,,Xreal
135,100,60,saturation,indoor,nature,,,4,2,,,Xreal
135,100,70,saturation,indoor,nature,2,7,6,9,,,Xreal
135,100,80,saturation,indoor,nature,5,8,12,14,,,Xreal
135,100,90,saturation,indoor,nature,9,12,8,5,,,Xreal
135,100,100,saturation,indoor,nature,14,3,,,,19,Xreal
135,20,100,brightness,outdoor,control,,,,,,13,Xreal
135,30,100,brightness,outdoor,control,,,,,5,,Xreal
135,40,100,brightness,outdoor,control,,,,2,15,,Xreal
135,50,100,brightness,outdoor,control,,2,8,9,8,,Xreal
135,60,100,brightness,outdoor,control,4,3,6,8,2,,Xreal
135,70,100,brightness,outdoor,control,2,2,9,10,,,Xreal
135,80,100,brightness,outdoor,control,15,8,3,1,,,Xreal
135,90,100,brightness,outdoor,control,7,11,2,,,,Xreal
135,100,100,brightness,outdoor,control,2,4,1,,3,17,Xreal
135,100,20,saturation,outdoor,control,,,,,30,14,Xreal
135,100,30,saturation,outdoor,control,,,,,,,Xreal
135,100,40,saturation,outdoor,control,,,,,,,Xreal
135,100,50,saturation,outdoor,control,,,,,,,Xreal
135,100,60,saturation,outdoor,control,,,,2,,,Xreal
135,100,70,saturation,outdoor,control,3,4,7,10,,,Xreal
135,100,80,saturation,outdoor,control,4,9,5,14,,,Xreal
135,100,90,saturation,outdoor,control,6,13,16,2,,,Xreal
135,100,100,saturation,outdoor,control,16,4,2,2,,16,Xreal
135,20,100,brightness,outdoor,nature,,,,,8,13,Xreal
135,30,100,brightness,outdoor,nature,,,,,14,3,Xreal
135,40,100,brightness,outdoor,nature,,,,2,4,,Xreal
135,50,100,brightness,outdoor,nature,,,,12,2,,Xreal
135,60,100,brightness,outdoor,nature,,1,2,10,2,,Xreal
135,70,100,brightness,outdoor,nature,,2,10,3,,,Xreal
135,80,100,brightness,outdoor,nature,16,5,12,2,,,Xreal
135,90,100,brightness,outdoor,nature,10,10,6,1,,,Xreal
135,100,100,brightness,outdoor,nature,4,12,,,,14,Xreal
135,100,20,saturation,outdoor,nature,,,,,18,17,Xreal
135,100,30,saturation,outdoor,nature,,,,,6,,Xreal
135,100,40,saturation,outdoor,nature,,,,,6,,Xreal
135,100,50,saturation,outdoor,nature,,,,,,,Xreal
135,100,60,saturation,outdoor,nature,,1,1,,,,Xreal
135,100,70,saturation,outdoor,nature,2,9,8,6,,,Xreal
135,100,80,saturation,outdoor,nature,13,7,8,20,,,Xreal
135,100,90,saturation,outdoor,nature,9,9,10,4,,,Xreal
135,100,100,saturation,outdoor,nature,6,4,3,,,13,Xreal
135,20,100,brightness,indoor,control,,,,,3,19,hololens
135,30,100,brightness,indoor,control,,,,,15,,hololens
135,40,100,brightness,indoor,control,,,,,10,,hololens
135,50,100,brightness,indoor,control,,,15,5,2,,hololens
135,60,100,brightness,indoor,control,,,5,18,,,hololens
135,70,100,brightness,indoor,control,2,12,10,2,,,hololens
135,80,100,brightness,indoor,control,2,13,,5,,,hololens
135,90,100,brightness,indoor,control,11,5,,,,,hololens
135,100,100,brightness,indoor,control,15,,,,,11,hololens
135,100,20,saturation,indoor,control,,,,,12,13,hololens
135,100,30,saturation,indoor,control,,,,,6,,hololens
135,100,40,saturation,indoor,control,,,,,2,,hololens
135,100,50,saturation,indoor,control,,,,,,,hololens
135,100,60,saturation,indoor,control,,,,2,,,hololens
135,100,70,saturation,indoor,control,,,2,15,,,hololens
135,100,80,saturation,indoor,control,2,1,16,10,,,hololens
135,100,90,saturation,indoor,control,8,20,10,2,,,hololens
135,100,100,saturation,indoor,control,20,9,2,1,,17,hololens
135,20,100,brightness,indoor,nature,,,,,,16,hololens
135,30,100,brightness,indoor,nature,,,,,7,,hololens
