hue,saturation,brightness,fixation,room,background,clearest,second clear,most comfortable,second comfortable,least clear,least comfortable,device
75,20,100,brightness,indoor,control,,,,,,12,Xreal
75,30,100,brightness,indoor,control,,,,,9,,Xreal
75,40,100,brightness,indoor,control,,,4,,7,,Xreal
75,50,100,brightness,indoor,control,2,,12,18,,,Xreal
75,60,100,brightness,indoor,control,,2,8,10,,,Xreal
75,70,100,brightness,indoor,control,7,5,4,2,,,Xreal
75,80,100,brightness,indoor,control,12,16,2,,,,Xreal
75,90,100,brightness,indoor,control,9,7,,,,,Xreal
75,100,100,brightness,indoor,control,,,,,14,18,Xreal
75,100,20,saturation,indoor,control,,,,,30,10,Xreal
75,100,30,saturation,indoor,control,,,,,,,Xreal
75,100,40,saturation,indoor,control,,,,,,,Xreal
75,100,50,saturation,indoor,control,,,,,,,Xreal
75,100,60,saturation,indoor,control,,,,,,,Xreal
75,100,70,saturation,indoor,control,,,,25,,,Xreal
75,100,80,saturation,indoor,control,,5,14,5,,,Xreal
75,100,90,saturation,indoor,control,18,11,16,,,,Xreal
75,100,100,saturation,indoor,control,12,14,,,,20,Xreal
75,20,100,brightness,indoor,nature,,,,,2,18,Xreal
75,30,100,brightness,indoor,nature,,,,,7,,Xreal
75,40,100,brightness,indoor,nature,,,,5,,,Xreal
75,50,100,brightness,indoor,nature,,,4,5,,,Xreal
75,60,100,brightness,indoor,nature,,,2,16,,,Xreal
75,70,100,brightness,indoor,nature,,,13,2,,,Xreal
75,80,100,brightness,indoor,nature,5,16,11,2,,,Xreal
75,90,100,brightness,indoor,nature,23,9,,,,,Xreal
75,100,100,brightness,indoor,nature,2,5,,,21,12,Xreal
75,100,20,saturation,indoor,nature,,,,,30,25,Xreal
75,100,30,saturation,indoor,nature,,,,,,,Xreal
75,100,40,saturation,indoor,nature,,,,,,,Xreal
75,100,50,saturation,indoor,nature,,,,,,,Xreal
75,100,60,saturation,indoor,nature,,,9,,,,Xreal
75,100,70,saturation,indoor,nature,,6,2,12,,,Xreal
75,100,80,saturation,indoor,nature,,13,14,16,,,Xreal
75,100,90,saturation,indoor,nature,9,11,5,2,,,Xreal
75,100,100,saturation,indoor,nature,21,,,,,5,Xreal
75,20,100,brightness,outdoor,control,,,,,2,16,Xreal
75,30,100,brightness,outdoor,control,,,,,5,,Xreal
75,40,100,brightness,outdoor,control,,,,,12,,Xreal
75,50,100,brightness,outdoor,control,5,,5,24,,,Xreal
75,60,100,brightness,outdoor,control,1,,18,,2,,Xreal
75,70,100,brightness,outdoor,control,1,12,7,,2,,Xreal
75,80,100,brightness,outdoor,control,5,11,,3,,,Xreal
75,90,100,brightness,outdoor,control,14,5,,3,,,Xreal
75,100,100,brightness,outdoor,control,4,2,,,7,14,Xreal
75,100,20,saturation,outdoor,control,,,,,30,12,Xreal
75,100,30,saturation,outdoor,control,,,,,,,Xreal
75,100,40,saturation,outdoor,control,,,,,,,Xreal
75,100,50,saturation,outdoor,control,,,,,,,Xreal
75,100,60,saturation,outdoor,control,,,,5,,,Xreal
75,100,70,saturation,outdoor,control,,2,7,4,,,Xreal
75,100,80,saturation,outdoor,control,2,7,12,21,,,Xreal
75,100,90,saturation,outdoor,control,12,19,11,,,,Xreal
75,100,100,saturation,outdoor,control,16,2,,,,18,Xreal
75,20,100,brightness,outdoor,nature,,,,,7,20,Xreal
75,30,100,brightness,outdoor,nature,,,,,,,Xreal
75,40,100,brightness,outdoor,nature,,,,,,,Xreal
