 ,saturation,brightness,fixation,room,background,clearest,second clear,most comfortable,second comfortable,least clear,least comfortable,device
180,100,100,saturation,indoor,nature,30,,,6,,18,hololens
180,20,100,brightness,outdoor,control,,,,,,30,hololens
180,30,100,brightness,outdoor,control,,,,,24,,hololens
180,40,100,brightness,outdoor,control,,,,,6,,hololens
180,50,100,brightness,outdoor,control,,,,,,,hololens
180,60,100,brightness,outdoor,control,,,6,12,,,hololens
180,70,100,brightness,outdoor,control,,6,24,12,,,hololens
180,80,100,brightness,outdoor,control,,18,,6,,,hololens
180,90,100,brightness,outdoor,control,18,6,,,,,hololens
180,100,100,brightness,outdoor,control,12,,,,,,hololens
180,100,20,saturation,outdoor,control,,,,,30,18,hololens
180,100,30,saturation,outdoor,control,,,,,,,hololens
180,100,40,saturation,outdoor,control,,,,,,,hololens
180,100,50,saturation,outdoor,control,,,,,,,hololens
180,100,60,saturation,outdoor,control,,,,,,,hololens
180,100,70,saturation,outdoor,control,,,,,,,hololens
180,100,80,saturation,outdoor,control,,,18,18,,,hololens
180,100,90,saturation,outdoor,control,6,30,12,12,,,hololens
180,100,100,saturation,outdoor,control,24,,,,,12,hololens
180,20,100,brightness,outdoor,nature,,,,,,18,hololens
180,30,100,brightness,outdoor,nature,,,,,24,6,hololens
180,40,100,brightness,outdoor,nature,,,,,6,,hololens
180,50,100,brightness,outdoor,nature,,,,,,,hololens
180,60,100,brightness,outdoor,nature,,,,,,,hololens
180,70,100,brightness,outdoor,nature,,,6,6,,,hololens
180,80,100,brightness,outdoor,nature,,,6,18,,,hololens
180,90,100,brightness,outdoor,nature,,30,12,6,,,hololens
180,100,100,brightness,outdoor,nature,30,,6,,,6,hololens
180,100,20,saturation,outdoor,nature,,,,,30,24,hololens
180,100,30,saturation,outdoor,nature,,,,,,,hololens
180,100,40,saturation,outdoor,nature,,,,,,,hololens
180,100,50,saturation,outdoor,nature,,,,,,,hololens
180,100,60,saturation,outdoor,nature,,,,,,,hololens
180,100,70,saturation,outdoor,nature,,,,,,,hololens
180,100,80,saturation,outdoor,nature,,,6,24,,,hololens
180,100,90,saturation,outdoor,nature,,30,24,6,,,hololens
180,100,100,saturation,outdoor,nature,30,,,,,6,hololens
