hue,saturation,brightness,fixation,room,background,clearest,second clear,most comfortable,second comfortable,least clear,least comfortable,device
30,100,90,saturation,indoor,nature,8,16,8,14,,,hololens
30,100,100,saturation,indoor,nature,18,6,,,,13,hololens
30,20,100,brightness,outdoor,control,,,,,12,28,hololens
30,30,100,brightness,outdoor,control,,,,,2,,hololens
30,40,100,brightness,outdoor,control,,,,,8,,hololens
30,50,100,brightness,outdoor,control,,,,,8,,hololens
30,60,100,brightness,outdoor,control,,,,,,,hololens
30,70,100,brightness,outdoor,control,,,,24,,,hololens
30,80,100,brightness,outdoor,control,,12,24,2,,,hololens
30,90,100,brightness,outdoor,control,6,16,2,4,,,hololens
30,100,100,brightness,outdoor,control,24,2,4,,,2,hololens
30,100,20,saturation,outdoor,control,,,,,30,17,hololens
30,100,30,saturation,outdoor,control,,,,,,,hololens
30,100,40,saturation,outdoor,control,,,,,,,hololens
30,100,50,saturation,outdoor,control,,,,,,,hololens
30,100,60,saturation,outdoor,control,,,,,,,hololens
30,100,70,saturation,outdoor,control,,,6,4,,,hololens
30,100,80,saturation,outdoor,control,4,8,16,12,,,hololens
30,100,90,saturation,outdoor,control,8,16,8,14,,,hololens
30,100,100,saturation,outdoor,control,18,6,,,,13,hololens
30,20,100,brightness,outdoor,nature,,,,,4,16,hololens
30,30,100,brightness,outdoor,nature,,,,,8,4,hololens
30,40,100,brightness,outdoor,nature,,,,,16,2,hololens
30,50,100,brightness,outdoor,nature,,,1,,2,,hololens
30,60,100,brightness,outdoor,nature,4,2,2,4,,,hololens
30,70,100,brightness,outdoor,nature,2,4,2,16,,,hololens
30,80,100,brightness,outdoor,nature,4,4,8,4,,,hololens
30,90,100,brightness,outdoor,nature,12,16,12,2,,,hololens
30,100,100,brightness,outdoor,nature,8,4,1,4,,8,hololens
30,100,20,saturation,outdoor,nature,,,,,30,17,hololens
30,100,30,saturation,outdoor,nature,,,,,,,hololens
30,100,40,saturation,outdoor,nature,,,,,,,hololens
30,100,50,saturation,outdoor,nature,,,,,,,hololens
30,100,60,saturation,outdoor,nature,,,,,,,hololens
30,100,70,saturation,outdoor,nature,,,6,4,,,hololens
30,100,80,saturation,outdoor,nature,4,8,16,12,,,hololens
30,100,90,saturation,outdoor,nature,8,16,8,14,,,hololens
30,100,100,saturation,outdoor,nature,18,6,,,,13,hololens
