 ,saturation,brightness,fixation,room,background,clearest,second clear,most comfortable,second comfortable,least clear,least comfortable,device
345,20,100,brightness,indoor,control,,,,,,14,Xreal
345,30,100,brightness,indoor,control,,,,8,13,,Xreal
345,40,100,brightness,indoor,control,,,8,7,5,,Xreal
345,50,100,brightness,indoor,control,,3,13,10,,,Xreal
345,60,100,brightness,indoor,control,5,3,7,5,,,Xreal
345,70,100,brightness,indoor,control,8,20,2,,,,Xreal
345,80,100,brightness,indoor,control,13,2,,,,,Xreal
345,90,100,brightness,indoor,control,2,2,,,,,Xreal
345,100,100,brightness,indoor,control,2,,,,12,16,Xreal
345,100,20,saturation,indoor,control,,,,,14,16,Xreal
345,100,30,saturation,indoor,control,,,,,,,Xreal
345,100,40,saturation,indoor,control,,,,,,,Xreal
345,100,50,saturation,indoor,control,,,,,,,Xreal
345,100,60,saturation,indoor,control,,,,7,,,Xreal
345,100,70,saturation,indoor,control,,5,16,11,,,Xreal
345,100,80,saturation,indoor,control,10,13,7,12,,,Xreal
345,100,90,saturation,indoor,control,8,12,7,,,,Xreal
345,100,100,saturation,indoor,control,12,,,,16,14,Xreal
345,20,100,brightness,indoor,nature,,,,,9,16,Xreal
345,30,100,brightness,indoor,nature,,,,3,,,Xreal
345,40,100,brightness,indoor,nature,,,2,8,,,Xreal
345,50,100,brightness,indoor,nature,,,2,14,,,Xreal
345,60,100,brightness,indoor,nature,,,14,5,,,Xreal
345,70,100,brightness,indoor,nature,,18,12,,,,Xreal
345,80,100,brightness,indoor,nature,21,5,,,,,Xreal
345,90,100,brightness,indoor,nature,9,5,,,,,Xreal
345,100,100,brightness,indoor,nature,,2,,,21,14,Xreal
345,100,20,saturation,indoor,nature,,,,,30,14,Xreal
345,100,30,saturation,indoor,nature,,,,,,,Xreal
345,100,40,saturation,indoor,nature,,,,,,,Xreal
345,100,50,saturation,indoor,nature,,,,,,,Xreal
345,100,60,saturation,indoor,nature,,,2,5,,,Xreal
345,100,70,saturation,indoor,nature,,,9,14,,,Xreal
345,100,80,saturation,indoor,nature,5,9,19,11,,,Xreal
345,100,90,saturation,indoor,nature,9,21,,,,,Xreal
345,100,100,saturation,indoor,nature,16,,,,,16,Xreal
345,20,100,brightness,outdoor,control,,,,,2,14,Xreal
345,30,100,brightness,outdoor,control,,,,,7,,Xreal
345,40,100,brightness,outdoor,control,,,,14,7,,Xreal
345,50,100,brightness,outdoor,control,,2,18,7,,,Xreal
345,60,100,brightness,outdoor,control,3,2,5,5,,,Xreal
345,70,100,brightness,outdoor,control,2,7,5,2,,,Xreal
345,80,100,brightness,outdoor,control,2,14,2,2,,,Xreal
345,90,100,brightness,outdoor,control,16,5,,,,,Xreal
345,100,100,brightness,outdoor,control,7,,,,14,16,Xreal
345,100,20,saturation,outdoor,control,,,,,30,16,Xreal
345,100,30,saturation,outdoor,control,,,,,,,Xreal
345,100,40,saturation,outdoor,control,,,,,,,Xreal
345,100,50,saturation,outdoor,control,,,,,,,Xreal
345,100,60,saturation,outdoor,control,,,,7,,,Xreal
345,100,70,saturation,outdoor,control,,2,7,14,,,Xreal
345,100,80,saturation,outdoor,control,2,7,14,9,,,Xreal
345,100,90,saturation,outdoor,control,7,19,9,,,,Xreal
345,100,100,saturation,outdoor,control,21,2,,,,14,Xreal
345,20,100,brightness,outdoor,nature,,,,,6,6,Xreal
345,30,100,brightness,outdoor,nature,,,,,,,Xreal
345,40,100,brightness,outdoor,nature,,,20,5,,,Xreal
345,50,100,brightness,outdoor,nature,,,10,20,,,Xreal
345,60,100,brightness,outdoor,nature,,10,,5,6,,Xreal
345,70,100,brightness,outdoor,nature,,15,,,,,Xreal
345,80,100,brightness,outdoor,nature,20,5,,,,,Xreal
345,90,100,brightness,outdoor,nature,5,,,,,,Xreal
345,100,100,brightness,outdoor,nature,5,,,,18,24,Xreal
345,100,20,saturation,outdoor,nature,,,,,30,12,Xreal
345,100,30,saturation,outdoor,nature,,,,,,,Xreal
345,100,40,saturation,outdoor,nature,,,,,,,Xreal
345,100,50,saturation,outdoor,nature,,,,,,,Xreal
345,100,60,saturation,outdoor,nature,,,,2,,,Xreal
345,100,70,saturation,outdoor,nature,,,9,7,,,Xreal
345,100,80,saturation,outdoor,nature,2,5,14,3,,,Xreal
345,100,90,saturation,outdoor,nature,9,23,7,1,,,Xreal
345,100,100,saturation,outdoor,nature,19,2,,,,18,Xreal
345,20,100,brightness,indoor,control,,,,,,23,hololens
345,30,100,brightness,indoor,control,,,,,8,,hololens
345,40,100,brightness,indoor,control,,,8,,7,,hololens
345,50,100,brightness,indoor,control,,,15,15,,,hololens
345,60,100,brightness,indoor,control,,8,7,15,,,hololens
345,70,100,brightness,indoor,control,15,4,,,,,hololens
345,80,100,brightness,indoor,control,8,6,,,,,hololens
345,90,100,brightness,indoor,control,7,7,,,,,hololens
345,100,100,brightness,indoor,control,,5,,,15,7,hololens
345,100,20,saturation,indoor,control,,,,,30,8,hololens
345,100,30,saturation,indoor,control,,,,,,,hololens
345,100,40,saturation,indoor,control,,,,,,,hololens
345,100,50,saturation,indoor,control,,,,,,,hololens
345,100,60,saturation,indoor,control,,,,,,,hololens
345,100,70,saturation,indoor,control,,,,8,,,hololens
345,100,80,saturation,indoor,control,,,8,15,,,hololens
345,100,90,saturation,indoor,control,,30,22,,,,hololens
345,100,100,saturation,indoor,control,30,,,7,,22,hololens
345,20,100,brightness,indoor,nature,,,,,,15,hololens
345,30,100,brightness,indoor,nature,,,,,15,,hololens
345,40,100,brightness,indoor,nature,,,,8,,,hololens
345,50,100,brightness,indoor,nature,,,8,22,,,hololens
345,60,100,brightness,indoor,nature,,,22,,,,hololens
345,70,100,brightness,indoor,nature,,30,,,,,hololens
345,80,100,brightness,indoor,nature,30,,,,,,hololens
345,90,100,brightness,indoor,nature,,,,,,,hololens
345,100,100,brightness,indoor,nature,,,,,15,15,hololens
345,100,20,saturation,indoor,nature,,,,,30,8,hololens
345,100,30,saturation,indoor,nature,,,,,,,hololens
345,100,40,saturation,indoor,nature,,,,,,,hololens
345,100,50,saturation,indoor,nature,,,,,,,hololens
345,100,60,saturation,indoor,nature,,,,,,,hololens
345,100,70,saturation,indoor,nature,,,,15,,,hololens
345,100,80,saturation,indoor,nature,,,15,,,,hololens
345,100,90,saturation,indoor,nature,,30,15,8,,,hololens
345,100,100,saturation,indoor,nature,30,,,7,,22,hololens
345,20,100,brightness,outdoor,control,,,,,8,23,hololens
345,30,100,brightness,outdoor,control,,,,,8,,hololens
345,40,100,brightness,outdoor,control,,,,8,7,,hololens
345,50,100,brightness,outdoor,control,,,8,15,,,hololens
345,60,100,brightness,outdoor,control,,,15,7,,,hololens
345,70,100,brightness,outdoor,control,,23,7,,,,hololens
345,80,100,brightness,outdoor,control,23,,,,,,hololens
345,90,100,brightness,outdoor,control,7,,,,,,hololens
345,100,100,brightness,outdoor,control,,7,,,7,7,hololens
345,100,20,saturation,outdoor,control,,,,,30,23,hololens
345,100,30,saturation,outdoor,control,,,,,,,hololens
345,100,40,saturation,outdoor,control,,,,,,,hololens
345,100,50,saturation,outdoor,control,,,,,,,hololens
345,100,60,saturation,outdoor,control,,,,,,,hololens
345,100,70,saturation,outdoor,control,,,,,,,hololens
345,100,80,saturation,outdoor,control,,,,15,,,hololens
345,100,90,saturation,outdoor,control,8,23,23,8,,,hololens
345,100,100,saturation,outdoor,control,22,7,7,7,,7,hololens
345,20,100,brightness,outdoor,nature,,,,,,23,hololens
345,30,100,brightness,outdoor,nature,,,,,8,,hololens
345,40,100,brightness,outdoor,nature,,,,,8,,hololens
345,50,100,brightness,outdoor,nature,,,,15,7,,hololens
345,60,100,brightness,outdoor,nature,,,15,15,,,hololens
345,70,100,brightness,outdoor,nature,8,8,15,,,,hololens
345,80,100,brightness,outdoor,nature,15,8,,,,,hololens
345,90,100,brightness,outdoor,nature,7,7,,,,,hololens
345,100,100,brightness,outdoor,nature,,7,,,7,7,hololens
345,100,20,saturation,outdoor,nature,,,,,30,30,hololens
345,100,30,saturation,outdoor,nature,,,,,,,hololens
345,100,40,saturation,outdoor,nature,,,,,,,hololens
345,100,50,saturation,outdoor,nature,,,,,,,hololens
345,100,60,saturation,outdoor,nature,,,,,,,hololens
345,100,70,saturation,outdoor,nature,,,8,,,,hololens
345,100,80,saturation,outdoor,nature,,8,2,23,,,hololens
345,100,90,saturation,outdoor,nature,15,15,22,,,,hololens
345,100,100,saturation,outdoor,nature,15,7,,7,,,hololens
